yearID,lgID,teamID,franchID,name,park,attendance,BA,2B,3B,HR,teamIDBR,teamIDlahman45,teamIDretro,Capacity,Type,Surface,LLd,LFd,LCd,CFd,RCd,RFd,RLd,LLh,LFh,LCh,CFh,RCh,RFh,RLh,BA LH,2B LH,3B LH,HR LH,BA RH,2B RH,3B RH,HR RH,BA Overall,2B Overall,3B Overall,HR Overall,path
1987,AL,OB,OB,OB Bears,Seoul Sports Complex Baseball Stadium,,,,,,,,,25000,,,328,355,383,410,383,355,328,8,8,8,8,8,8,8,0.992596528,0.947172431,0.969913377,0.942963645,0.9963485,0.950194442,0.950877071,0.934927309,0.996484214,0.938206511,0.969869384,0.931810011,
1988,AL,LOT,LOT,Lotte Giants,Sajik Baseball Stadium,,,,,,,,,30154,,,311,336,362,387,362,336,311,15,15,15,15,15,15,15,1.01061364,1.036326078,1.019205451,1.052915751,1.006394967,1.027653659,1.000224913,1.028326743,1.001331229,1.02090588,0.992883528,1.055673616,
1988,AL,TAI,SM,Taipyungyang Dolphins,Sungui baseball stadium,,,,,,,,,12000,,,298,319,339,360,339,319,298,15,15,15,15,15,15,15,0.993382112,1.036427763,1.004697991,1.005806272,1.003351072,1.035841508,1.014294762,1.000326023,0.998460839,1.015168188,0.998418337,1.046230711,
1988,AL,BGR,BGR,Bingre Eagles,Hanwha Life Eagles Park,,,,,,,,,10500,,,321,339,356,374,356,339,321,8,8,8,8,8,8,8,1.012189281,0.980825583,0.974755033,1.058976198,0.990285823,0.973221653,1.043534506,1.041714155,1.005618154,0.997112773,1.01024185,1.04566698,
1988,AL,SAM,SAM,Samsung Lions,Daegu Citizen Baseball Stadium,,,,,,,,,10000,,,321,339,356,374,356,339,321,9,9,9,9,9,9,9,0.999379161,0.988232187,1.033395786,1.016429259,0.996632159,1.017855524,1.049397392,1.030383999,1.000681178,1.02669485,1.062341204,1.001308082,
1988,AL,HAI,HAI,Haitai Tigers,Mudeung Baseball Stadium,,,,,,,,,12500,,,321,339,356,374,356,339,321,22,22,22,22,22,22,22,0.999927597,1.068136679,1.02598003,0.981062448,1.008894214,1.045207345,0.993523715,1.024784373,1.000430374,1.063928752,0.998391331,0.98793338,
1988,AL,MBC,MBC,MBC Chungryong,Seoul Sports Complex Baseball Stadium,,,,,,,,,25000,,,328,355,383,410,383,355,328,8,8,8,8,8,8,8,0.992254104,0.945025855,0.970982855,0.942405036,0.997220883,0.950110156,0.949512356,0.937232354,0.996739113,0.938094778,0.968861875,0.931593616,
1988,AL,OB,OB,OB Bears,Seoul Sports Complex Baseball Stadium,,,,,,,,,25000,,,328,355,383,410,383,355,328,8,8,8,8,8,8,8,0.992254104,0.945025855,0.970982855,0.942405036,0.997220883,0.950110156,0.949512356,0.937232354,0.996739113,0.938094778,0.968861875,0.931593616,
1989,AL,LOT,LOT,Lotte Giants,Sajik Baseball Stadium,,,,,,,,,30154,,,311,336,362,387,362,336,311,15,15,15,15,15,15,15,1.009969978,1.03664811,1.016917741,1.056939403,1.005769084,1.028851088,1.002935761,1.029315122,1.000799525,1.018255635,0.993060563,1.064848623,
1989,AL,BGR,BGR,Bingre Eagles,Hanwha Life Eagles Park,,,,,,,,,10500,,,321,339,356,374,356,339,321,8,8,8,8,8,8,8,1.011544616,0.981130369,0.972567097,1.063023009,0.989669958,0.974355657,1.046362734,1.042715402,1.005084174,0.994524294,1.01042198,1.054755018,
1989,AL,SAM,SAM,Samsung Lions,Daegu Citizen Baseball Stadium,,,,,,,,,10000,,,321,339,356,374,356,339,321,9,9,9,9,9,9,9,0.998742654,0.988539274,1.031076224,1.02031348,0.996012347,1.019041535,1.05224151,1.031374356,1.00014982,1.024029577,1.062530623,1.010010591,
1989,AL,HAI,HAI,Haitai Tigers,Mudeung Baseball Stadium,,,,,,,,,12500,,,321,339,356,374,356,339,321,22,22,22,22,22,22,22,0.999290741,1.068468596,1.023677114,0.984811517,1.008266777,1.046425227,0.996216401,1.025769348,0.999899149,1.061166821,0.998569347,0.996519647,
1989,AL,TAI,SM,Taipyungyang Dolphins,Sungui baseball stadium,,,,,,,,,12000,,,298,319,339,360,339,319,298,24,24,24,24,24,24,24,0.997207739,1.03457462,1.018155053,0.982899836,1.007080425,1.028892035,0.998072073,0.994559416,1.001647635,1.030704658,0.997348234,0.99448567,
1989,AL,MBC,MBC,MBC Chungryong,Seoul Sports Complex Baseball Stadium,,,,,,,,,25000,,,328,355,383,410,383,355,328,8,8,8,8,8,8,8,0.991622135,0.945319516,0.968803385,0.946006378,0.996600705,0.95121723,0.952085761,0.938133178,0.996209848,0.935659508,0.969034626,0.939690226,
1989,AL,OB,OB,OB Bears,Seoul Sports Complex Baseball Stadium,,,,,,,,,25000,,,328,355,383,410,383,355,328,8,8,8,8,8,8,8,0.991622135,0.945319516,0.968803385,0.946006378,0.996600705,0.95121723,0.952085761,0.938133178,0.996209848,0.935659508,0.969034626,0.939690226,
1990,AL,LOT,LOT,Lotte Giants,Sajik Baseball Stadium,,,,,,,,,30154,,,311,336,362,387,362,336,311,15,15,15,15,15,15,15,1.009969978,1.03664811,1.016917741,1.056939403,1.005769084,1.028851088,1.002935761,1.029315122,1.000799525,1.018255635,0.993060563,1.064848623,
1990,AL,BGR,BGR,Bingre Eagles,Hanwha Life Eagles Park,,,,,,,,,10500,,,321,339,356,374,356,339,321,8,8,8,8,8,8,8,1.011544616,0.981130369,0.972567097,1.063023009,0.989669958,0.974355657,1.046362734,1.042715402,1.005084174,0.994524294,1.01042198,1.054755018,
