LahmanPlayerID,Year,UniNo,dummy,dummy,dummy,dummy
51200,2022,100,,,,
51200,2021,100,,,,
51203,2023,3,,,,
51203,2022,3,,,,
51203,2021,3,,,,
51230,2024,41,,,,
51230,2023,41,,,,
51230,2022,41,,,,
51230,2021,30,,,,
51234,2022,34,,,,
51234,2021,34,,,,
51257,2022,57,,,,
51257,2021,57,,,,
51264,2025,28,,,,
51264,2024,28,,,,
51264,2023,64,,,,
51264,2022,64,,,,
51264,2021,64,,,,
51269,2025,60,,,,
51269,2024,60,,,,
51269,2022,30,,,,
51269,2021,69,,,,
51294,2025,66,,,,
51294,2024,66,,,,
51294,2022,93,,,,
51294,2021,94,,,,
51298,2025,15,,,,
51298,2023,115,,,,
51298,2022,15,,,,
51298,2021,98,,,,
51301,2023,34,,,,
51301,2022,34,,,,
51301,2021,34,,,,
51302,2025,58,,,,
51302,2023,102,,,,
51302,2022,58,,,,
51302,2021,38,,,,
51303,2024,26,,,,
51303,2023,26,,,,
51303,2022,26,,,,
51303,2021,3,,,,
51305,2025,64,,,,
51305,2023,38,,,,
51305,2022,36,,,,
51305,2021,5,,,,
51307,2023,4,,,,
51307,2022,4,,,,
51307,2021,7,,,,
51309,2021,24,,,,
51324,2021,24,,,,
51334,2021,34,,,,
51344,2025,44,,,,
51344,2024,44,,,,
51344,2023,33,,,,
51344,2022,33,,,,
51344,2021,44,,,,
51359,2025,61,,,,
51359,2024,61,,,,
51359,2023,61,,,,
51359,2022,61,,,,
51359,2021,59,,,,
51393,2024,93,,,,
51393,2023,93,,,,
51393,2022,93,,,,
51393,2021,93,,,,
51403,2024,3,,,,
51403,2023,3,,,,
51403,2022,24,,,,
51403,2021,103,,,,
51407,2025,50,,,,
51407,2024,50,,,,
51407,2021,107,,,,
51408,2024,108,,,,
51408,2023,108,,,,
51408,2022,108,,,,
51408,2021,108,,,,
51417,2024,41,,,,
51417,2023,41,,,,
51417,2022,41,,,,
51417,2021,69,,,,
51439,2021,39,,,,
51454,2025,57,,,,
51454,2024,57,,,,
51454,2023,54,,,,
51454,2022,54,,,,
51454,2021,54,,,,
51460,2025,59,,,,
51460,2023,46,,,,
51460,2022,46,,,,
51460,2021,60,,,,
51463,2024,63,,,,
51463,2023,63,,,,
51463,2022,63,,,,
51463,2021,63,,,,
51466,2025,103,,,,
51466,2024,103,,,,
51466,2023,103,,,,
51466,2021,66,,,,
51468,2025,104,,,,
51468,2024,104,,,,
51468,2022,68,,,,
51468,2021,68,,,,
51516,2025,15,,,,
51516,2024,15,,,,
51516,2023,15,,,,
51516,2022,15,,,,
51516,2021,16,,,,
51526,2025,20,,,,
51526,2023,36,,,,
51526,2022,26,,,,
51526,2021,26,,,,
51528,2025,28,,,,
51528,2024,0,,,,
51528,2023,6,,,,
51528,2021,28,,,,
51546,2025,46,,,,
51546,2024,12,,,,
51546,2023,46,,,,
51546,2022,46,,,,
51546,2021,46,,,,
51551,2025,51,,,,
51551,2024,51,,,,
51551,2022,31,,,,
51551,2021,51,,,,
51560,2025,116,,,,
51560,2024,63,,,,
51560,2023,109,,,,
51560,2022,60,,,,
51560,2021,60,,,,
51564,2025,108,,,,
51564,2024,119,,,,
51564,2021,64,,,,
51567,2021,67,,,,
51574,2024,106,,,,
51574,2023,110,,,,
51574,2022,74,,,,
51574,2021,74,,,,
51586,2023,61,,,,
51586,2022,44,,,,
51586,2021,86,,,,
51592,2025,45,,,,
51592,2024,118,,,,
51592,2021,92,,,,
51594,2025,59,,,,
51594,2024,59,,,,
51594,2022,94,,,,
51594,2021,94,,,,
51603,2025,1,,,,
51603,2024,1,,,,
51603,2023,1,,,,
51603,2021,4,,,,
51604,2024,8,,,,
51604,2023,8,,,,
51604,2022,42,,,,
51604,2021,44,,,,
51619,2021,15,,,,
51636,2021,36,,,,
51640,2024,20,,,,
51640,2022,44,,,,
51640,2021,40,,,,
51645,2025,3,,,,
51645,2024,3,,,,
51645,2022,15,,,,
51645,2021,45,,,,
51648,2025,48,,,,
51648,2024,48,,,,
51648,2023,48,,,,
51648,2022,48,,,,
51648,2021,48,,,,
51665,2025,6,,,,
51665,2024,46,,,,
51665,2022,65,,,,
51665,2021,65,,,,
51668,2022,68,,,,
51668,2021,68,,,,
51701,2024,46,,,,
51701,2023,94,,,,
51701,2022,109,,,,
51701,2021,1,,,,
51706,2023,63,,,,
51706,2022,63,,,,
51706,2021,63,,,,
51713,2025,112,,,,
51713,2024,60,,,,
51713,2023,60,,,,
51713,2022,60,,,,
51713,2021,3,,,,
51714,2021,14,,,,
51715,2025,15,,,,
51715,2024,15,,,,
51715,2023,15,,,,
51715,2022,15,,,,
51715,2021,15,,,,
51722,2022,22,,,,
51722,2021,22,,,,
51725,2021,25,,,,
51761,2025,61,,,,
51761,2024,61,,,,
51761,2021,61,,,,
51762,2025,32,,,,
51762,2024,96,,,,
51762,2022,32,,,,
51762,2021,32,,,,
51764,2025,65,,,,
51764,2023,41,,,,
51764,2022,41,,,,
51764,2021,64,,,,
51767,2025,54,,,,
51767,2024,102,,,,
51767,2022,4,,,,
51767,2021,67,,,,
51803,2023,17,,,,
51865,2025,20,,,,
51867,2025,39,,,,
51868,2025,18,,,,
51895,2025,21,,,,
51897,2025,19,,,,
51903,2025,42,,,,
51903,2022,56,,,,
51903,2021,102,,,,
51907,2025,7,,,,
51907,2024,7,,,,
51907,2023,7,,,,
51907,2022,7,,,,
51907,2021,7,,,,
51948,2024,48,,,,
51948,2023,48,,,,
51948,2022,48,,,,
51948,2021,48,,,,
51967,2022,6,,,,
51967,2021,67,,,,
51991,2025,105,,,,
51991,2024,38,,,,
51991,2023,38,,,,
51991,2022,30,,,,
51991,2021,91,,,,
51994,2025,55,,,,
51994,2024,55,,,,
51994,2023,60,,,,
51994,2022,55,,,,
51994,2021,94,,,,
51996,2025,6,,,,
51996,2024,50,,,,
51996,2023,50,,,,
51996,2022,14,,,,
51996,2021,96,,,,
52001,2024,62,,,,
52001,2022,58,,,,
52002,2024,57,,,,
52002,2023,97,,,,
