playerid,lahmanID,managerID,hofID,birthYear,birthMonth,birthDay,birthCountry,birthState,birthCity,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,namefirst,namelast,nameNote,nameGiven,nameNick,weight,Height,bats,throws,debut,finalGame,college,lahman40ID,lahman45ID,retroID,holtzID,BBrefMiLBid,DraftValue,Fastball,Changeup,Curve,Slider,Sinker,Splitter,Forkball,Cutter,Knuckleball,KnuckleCurve,CircleChange,Screwball,pexp,cexp,1bexp,2bexp,ssexp,3bexp,lfexp,cfexp,rfexp,infrange,inferror,infarm,infdp,cability,carm,ofrange,oferror,ofarm,Ethnicity,Arm Slot,Arm Slot.1,Name_ko,High,position
64914,64914,,,1986.0,11.0,10.0,United States,,,,,,,,,Eric,Thames,,,God,209.0,72.0,L,R,,,,,,,,2064914,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,African,4.0,4.0,테임즈,,
67025,67025,,,1990.0,5.0,24.0,United States,,,,,,,,,Mel,Rojas Jr,,,,225.0,74.0,S,R,,,,,,,,2067025,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,African,4.0,4.0,로하스,,
50558,50558,,,1988.0,12.0,1.0,United States,,,,,,,,,Dan,Straily,,,,220.0,74.0,R,R,,,,,,,,2050558,,1.0,3.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Caucasian,4.0,4.0,스트레일리,,
73324,73324,,,1974.0,4.0,21.0,United States,,,,,,,,,Cliff,Brumbaugh,,,,198.0,73.0,R,R,,,,,,,,2073324,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,Hispanic,4.0,4.0,브룸바,,
53913,53913,,,1993.0,2.0,25.0,United States,,,,,,,,,Erick,Fedde,,,,203.0,76.0,R,R,,,,,,,,2053913,,,4.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,Caucasian,4.0,4.0,페디,,
65543,65543,,,1987.0,6.0,15.0,United States,,,,,,,,,Josh,Lindblom,,,,231.0,77.0,R,R,,,,,,,,2065543,,1.0,8.0,5.0,2.0,4.0,6.0,7.0,3.0,,,,,,,,,,,,,,,,,,,,,,,Caucasian,4.0,4.0,린드블럼,,
72659,72659,,,1972.0,11.0,11.0,United States,,,,,,,,,Daniel,Rios,,,,198.0,74.0,R,R,,,,,,,,2072659,,1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,Caucasian,4.0,4.0,리오스,,
69940,69940,,,1988.0,12.0,30.0,United States,,,,,,,,,Drew,Rucinski,,,,201.0,74.0,R,R,,,,,,,,2069940,,1.0,,4.0,3.0,2.0,6.0,7.0,5.0,,,,,,,,,,,,,,,,,,,,,,,Caucasian,4.0,4.0,루친스키,,
62322,62322,,,1979.0,7.0,31.0,United States,,,,,,,,,Andy,Van Hekken,,,,198.0,76.0,R,L,,,,,,,,2062322,,1.0,,4.0,,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,Caucasian,4.0,4.0,밴헤켄,,
65856,65856,,,1988.0,10.0,14.0,United States,,,,,,,,,Merrill,Kelly,,,,190.0,74.0,R,R,,,,,,,,2065856,,1.0,2.0,4.0,,5.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,Caucasian,4.0,4.0,켈리,,
